Carambola,1,1,1,0,31,1,0.3,6.7,2.8
Catalup deshidratat Sanovita,1,1,1,0,343,0,0,86,3.2
Catina,1,1,1,0,52,0.9,2.5,5,0
Cherimoya,1,1,1,0,75,1.6,0.7,17.7,3
Cirese,1,1,1,0,63,1.1,0.2,16,2.1
Cirese congelate Hortex,1,1,1,0,49,0.9,0.4,9.9,0
Clementine,1,1,1,0,38,0,0,8,1
Coacaze negre,1,1,1,0,57,0.7,0.3,14.5,2.4
Coacaze negre (congelate),1,1,1,0,50,0.4,0.7,12.1,2.9
Coacaze negre deshidratate Orchid,1,1,1,0,326,2,0.5,75,9
Coacaze rosii,1,1,1,0,34,0.6,0,7,2
Coacaze rosii (congelate),1,1,1,0,33,1.2,0,5.3,2.8
Coacaze rosii uscate Flores Farm,1,1,1,0,308,0.1,1.4,82.4,5.7
Coarne de padure,1,1,1,0,76,0.7,0.4,16.9,0
Cocktail fructe Sweet Valley ,1,1,1,0,63,0.5,0.1,14,1.7
Cocltail fructe deshidratate Orlando's,1,1,1,0,267,3.4,0.7,85,0
Compot ananas,1,1,1,0,49,0,0,12.3,0.8
Compot ananas fara zahar Maxim's ,1,1,1,0,52,0.3,0.9,12.7,0.8
Compot ananas in suc slab indulcit Merve,1,1,1,0,62.3,0,0,12.1,1.4
Compot ananas rondele Maxim's,1,1,1,0,68.3,0.2,0.5,15.8,0.4
Compot ananas Royal Umbrella,1,1,1,0,57,0,0,14,1
Compot de ananas bucati Bitar,1,1,1,0,62.7,0.3,0.2,14.6,0
Compot de ananas Carrefour,1,1,1,0,71,0.3,0.4,16.5,0
Compot de ananas clasic Kaufland,1,1,1,0,63,0.3,0.1,14.9,1
Compot de ananas Cora,1,1,1,0,50,0,0,12,1
Compot de cirese Raureni,1,1,1,0,74.3,0,0,19.5,1.1
Compot de mere,1,1,1,0,85,0.3,0,20.2,2
Compot de pere,1,1,1,0,99,0.3,0,23.7,1.7
Compot de piersici 365,1,1,1,0,61,0.3,0,15,0
Compot de prune cu zahar,1,1,1,0,92,0.4,0,21.9,1
Compot de visine,1,1,1,0,90,0.6,0,20.8,1.4
Compot de visine Raureni,1,1,1,0,83.8,0.5,0,20.9,0.9
Compot din fructe de vara Yeo Valley,1,1,1,0,71,0.7,0.1,16.9,2
Compot mandarine Cody,1,1,1,0,61,0,0,16,0
Compot prune slab indulcit 365,1,1,1,0,63,0,0,16,1
Compot tropical ananas gold premium fara zahar Dole,1,1,1,0,65,0.4,0.1,15,1
Compot zmeura Kaufland,1,1,1,0,84,0.8,0,16.9,0
Conserva ananas bucati in sirop slab indulcit Nota 11,1,1,1,0,64,0.3,0.1,15.4,0
Conserva cocktail din 5 fructe Vitae D'Oro,1,1,1,0,68,0.6,0,15.9,0.4
Conserva de ananas bucati in sirop Victory,1,1,1,0,90,0,0,22,2
Corcoduse,1,1,1,0,27,0.2,0,6.4,1
Curmale (presate),1,1,1,0,286,2.4,0,73.8,7.1
Curmale deshidratate Domino,1,1,1,0,281,1.7,0.1,64.2,0
Curmale deshidratate Elmas,1,1,1,0,268,1.7,0.2,67,6
Curmale deshidratate fara samburi Carrefour,1,1,1,0,307,1.3,0.6,74,8
Curmale deshidratate fara samburi Fruit Orchard,1,1,1,0,307,1.3,0.6,74,8
Curmale deshidratate Oblio,1,1,1,0,314,2.5,0.4,75,8
Curmale deshidratate Orlando's,1,1,1,0,329,2.5,0.4,75,8.3
Curmale Extra Rabbi,1,1,1,0,317,2,0.6,75.8,8.2
Curmale fara samburi SanoVita,1,1,1,0,202,3.3,0.2,68,0
Curmale proaspete,1,1,1,0,282,2.5,0.4,75,8
Curmale San Diego,1,1,1,0,306,2.2,0.2,73,0
Curmale uscate confiate,1,1,1,0,286,2.4,0,73.8,7.1
Dude (Agude) proaspete,1,1,1,0,43,1.4,0.4,9.8,1.7
