Tofu afumat Inedit,0,1,1,1,0,145,13.2,8.3,4.1,0,
Tofu bio cu marar Inedit,0,1,1,1,0,107,12.1,4,5.7,0,
Tofu bio simplu Inedit,0,1,1,1,0,104,12,4,5,0,
Tofu Cauldron,0,1,1,1,0,105,12.1,6,0.6,0.5,
Tofu cu ardei Inedit,0,1,1,1,0,107,12,4.1,5.5,1,
Tofu in saramura Inedit,0,1,1,1,0,155,15.1,8.5,4.5,0,
Tofu Telemah,0,1,1,1,0,150,18,6,8,0,
Zacusca de ciuperci Carrefour,1,0,1,0,0,101,2.2,7,4,0,
Zacusca de vinete Olympia,1,0,1,0,0,110,2,7,9.8,0,
Zacusca picanta Raureni,1,0,1,0,0,23,0.8,0.2,6.8,3,
Zacusca romaneasca Inedit,1,0,1,0,0,175,2,9.2,20.5,0,
Zacusca taraneasca Raureni,1,0,1,0,0,23,0.8,0.2,6.8,3,
Zacusca Toppo Lidl,1,0,1,0,0,144,1.9,11,12.2,5.9,
Zacusca traditionala Camara cu Bucate,1,0,1,0,0,127,1.1,10,8,0,
Zacusca Vico,1,0,1,0,0,53,2.7,2.6,4.7,0,
Zaziki Dr. Oetker,0,1,1,0,0,132,3.5,9.8,7.4,0,SHOULD BE SIDEDISH
