Albus de ou,52,10.9,0.2,0.7,0
Albus de ou fiert,52,10.9,0.2,0.7,0
Albus de ou uscat,320,73.4,0.3,4,0
Albus prajit,52,10.9,0.2,0.7,0
Galbenus de ou,317,16,27,4,0
Ou curca,171,13.7,11.9,1.2,0
Ou de gaina,143,12.6,9.5,0.7,0
Ou de gaina prajit,196,13.6,15.3,0.9,0
Ou de gasca,185,13.9,13.3,1.4,0
Ou de prepelita,158,13,11,0,0
Ou de rata,185,12.8,13.8,1.5,0
Ou gaina fiert,155,12.6,10.6,1.1,0
Oua de broasca testoasa,150,15,10,0,13
Praf de ou,578,44.7,40.1,5.2,0
