Albus de ou fiert,1,0,1,0,0,52,10.9,0.2,0.7,0
Albus prajit,1,0,1,0,0,52,10.9,0.2,0.7,0
Ou curcan fiert,1,0,1,0,0,171,13.7,11.9,1.2,0
Ou de gaina fiert,1,0,1,0,0,143,12.6,9.5,0.7,0
Ou de gaina prajit,1,0,1,0,0,196,13.6,15.3,0.9,0
Ou de gasca fiert,1,0,1,0,0,185,13.9,13.3,1.4,0
Ou de prepelita fiert,1,0,1,0,0,158,13,11,0,0
Ou de rata fiert,1,0,1,0,0,185,12.8,13.8,1.5,0
Ou gaina fiert,1,0,1,0,0,155,12.6,10.6,1.1,0
